Year,Average Attendance,Year.1,Population
2006.0,17757.0,2006.0,559000.0
2007.0,17395.0,2007.0,572250.0
2008.0,17504.0,2008.0,586250.0
2009.0,17150.0,2009.0,601000.0
2010.0,17319.0,2010.0,616250.0
2011.0,17274.0,2011.0,632500.0
2012.0,17348.0,2012.0,649500.0
2013.0,17407.0,2013.0,667250.0
2014.0,17809.0,2014.0,686000.0
2015.0,17849.0,2015.0,705750.0
2016.0,17884.0,2016.0,726500.0
2017.0,17830.0,2017.0,748500.0
2018.0,17857.0,2018.0,771500.0
2019.0,17750.0,2019.0,792750.0
2021.0,17184.0,2021.0,833000.0
2022.0,18076.0,2022.0,851000.0
